Date,Newspaper,Headline,News
2-Aug-18,Tech Crunch,Arm acquires data management service Treasure Data to bolster its IoT platform,"Arm, the semiconductor firm you probably still remember as ARM, today announced that it has acquired Treasure Data, a data management platform for large enterprise customers. The companies didn’t announce the financial details of the …"
2-Aug-18,City AM,WHAT THE OTHER PAPERS SAY THIS MORNING,"FINANCIAL TIMES T-MOBILE SUBSCRIPTIONS TOP FORECASTS T-Mobile USA last night said it added more postpaid phone subscribers in the second quarter than Wall Street forecast and reported upbeat earnings as it works to complete its merger with Sprint. The Washington-based company added 686,000 lucrative postpaid phone customers, who are billed on a recurring monthly basis in the second quarter. That was up 153,000 from the year ago quarter and topped analysts estimates for 658,000, according to a Bloomberg survey. GOOGLE READY FOR BOW TO BEIJING CENSOR Google is considering a relaunch of its search engine in China, a move that would mean bowing to the censorship that prompted the company's withdrawal from the country eight years ago. THE TIMES FARMERS PLEAD FOR HELP AS HEATWAVE HITS CROPS Farmers have demanded that the government introduce ""emergency measures"" to safeguard food production from drought. The National Farmers Union called a ""drought summit"" yesterday with Michael Gove amid warnings that meat, milk and vegetable yields are depleted. VIOLENCE FLARES IN ZIMBABWE At least three people have been killed and scores injured in a brutal military crackdown in Zimbabwe, where soldiers have used live rounds and tear gas to disperse crowds protesting against the ruling party's vote victory. THE DAILY TELEGRAPH DEBENHAMS SUFFERS CREDIT RATING CUT A string of profit warnings has triggered a cut to Debenhams' credit rating as conditions on the high street continue to bite. Rating agency Moody's has downgraded the troubled department store chain from B1 to B2 after the retailer announced in June its third profit warning this year. MPS: CITY LAW FIRM DODGES GENDER PAY REPORT The magic circle law firm Allen & Overy (A&O) has been sharply criticised by MPs for making ""a nonsense"" of gender pay gap reporting by failing to include the effect of £1.5m payouts to senior partners. THE WALL STREET JOURNAL ICAHN PLANS TO OPPOSE EXPRESS SCRIPTS DEAL Activist investor Carl Icahn has built a sizable stake in Cigna Corp. and plans to vote against the health insurer's $54bn (£41bn) purchase of Express Scripts, the latest sign of trouble for the planned tieup. Icahn believes the company is paying too high a price for Express Scripts, which faces threats on a number of fronts. SHARES OF WYNN FALL AFTER PROFIT MISSES Wynn Resorts posted its first profit under its new boss, primarily on stronger results from one of its resorts in Macau, but the results fell short of analysts' expectations."
26-Jul-18,City AM,IAG picks Flybe strategist as first chief of its low-cost airline Level,"BRITISH Airways owner IAG has made Flybe strategist Vincent Hodder the first chief executive of its low-cost airline Level. IAG launched the new budget Austrian subsidiary late last month, in a move that was seen as throwing down the gauntlet to Laudamotion, set up by Niki Lauda, in which Ryanairacquired a majority stake in March. Flights on the airline started in June 2017, from its base in Barcelona to destinations such as Boston, Buenos Aires, Los Angeles and San Francisco. Earlier this month, flights from Paris Orly to Montreal and Guadeloupe were added to the mix, while flights to New York and Martinique will go live in September. Hodder currently serves as Flybe's chief strategy officer and has also worked with low-cost carriers such as Jetstar in Australia and Asia and VivaAerobus in Mexico. He will start his new position in early September. IAG's director of strategy Robert Boyle said: ""Vincent has extensive experience in the aviation industry and an in-depth understanding of the low-cost business model. I have no doubt that he will continue to build upon Level's positive momentum."""
25-Jul-18,Tech Crunch,Qualcomm says it will drop its massive $44B offer to acquire NXP,"Qualcomm today said it wouldn’t extend its offer to buy NXP for $44 billion today as part of its release for its quarterly earnings, and instead be returning $30 billion to investors in the form of a share buy-back."
25-Jul-18,Tech Crunch,Grubhub acquires payments and loyalty company LevelUp for $390M,Grubhub announced this morning that it’s agreed to acquire LevelUp for $390 million cash.Founder and CEO Matt Maloney told me that while previous Grubhub acquisitions like Eat24 were designed to give the company’s delivery business more …
24-Jul-18,City AM,Kuwaiti fund in $1.7bn North Sea purchase,"WREN House Infrastructure Management, the London-based arm of the Kuwait Investment Authority, has bought a North Sea gas midstream business for a reported $1.7bn (£1.3bn). Wren House announced yesterday it has agreed to acquire private equity firm ArcLight Capital Partners' interest in North Sea Midstream Partners (NSMP), which has interests in and operates four gas transportation and processing assets in and around the North Sea. These include a 67 per cent interest in the Shetland Island Regional Gas Export System pipeline, which transports gas from the west of Shetland basin and a 100 per cent interest in the Frigg UK pipeline. Wren House reportedly fought off bids from JP Morgan, Blackstone, and private equity fund KKR to buy NSMP. ""Wren House was bidding against some very big players and they simply offered the best terms,"" a source told Reuters. Other infrastructure investments Wren House has made in the UK include Associated British Ports, London City Airport and Thames Water. Managing director of Wren House Hakim Drissi Kaitouni said: ""We are excited to continue building on the foundations set by ArcLight and are pleased to support NSMP as it continues to deliver the highest level of service to its customers, whose needs are expected to rapidly grow driven by positive production outlook and new development activities."" NSMP's chief executive Andy Heppel said: ""The combination of NSMP's great base business with Wren House's financial expertise and commitment to operational excellence will be the trigger for continued development of the NSMP infrastructure in the North Sea."" The transaction is expected to close in 2018, the terms of the deal were not disclosed. Bank of America Merrill Lynch and Freshfields Bruckhaus Deringer are Arclight's financial and legal advisers while Wren House's financial advisers are Jefferies and Macquarie and Slaughter and May is its legal adviser."
23-Jul-18,Tech Crunch,Musical.ly’s shutdown of Live.ly was contractually obligated,"Musical.ly has begun redirecting users of its Live.ly app, which it decided to kill off last month , to a competing app called LiveMe. Existing Live.ly users are being pointed to LiveMe through an in-app message, it says. While it’s a …"
23-Jul-18,City AM,Airbus chief eyes pan-European military merger to form US rival,"THE CHIEF executive of aerospace and defence giant Airbus said he is open to building a European megamerger that would create a military aircraft company with the strength to compete with the US. Tom Enders said it was time to ""seriously look at consolidating and coalescing efforts"" into forming one body, the Sunday Times revealed yesterday. The news comes after rival firm BAE Systems called for help to manufacture its designs for a new jet fighter last week, in a £10bn-plus project which so far has received just £2bn from the Ministry of Defence. Airbus attempted a merger with BAE in 2012 to the tune of £34bn, but it was rejected by German Chancellor Angela Merkel over fears of Airbus expanding too heavily into the defence industry. The proposal would see the military aircraft divisions of Airbus, BAE, France's Dassault, Sweden's Saab and Italy's Leonardo combined to form one effort. ""There's no room for three different programmes, not even for two,"" Enders added. ""If you look at how the world develops, it makes a lot of sense, irrespective of political divisions we might have in Europe, that the major industrial forces of the continent work together."""
23-Jul-18,City AM,IWG wins more time for suitors to make offers,"OFFICE space provider IWG has successfully sought an extension from the UK Panel on Takeovers and Mergers to allow more time for three potential suitors to make firm commitments to buy out the company. Originally TDR Capital, Terra Firma and Starwood Capital had until 5pm on Saturday to make their intentions known, but this deadline has now been pushed back until 7 August. IWG said ""having considered the proposals received and based on discussions to date,"" it was seeking an extension. IWG said the extension excluded fourth suitor Prime Opportunities. IWG has already rebuffed a previous all-cash offer valuing the company at £2.5bn made jointly by two other firms that are no longer part of the process. The current market cap of IWG is £2.7bn. The UK-based company provides clients with serviced offices, meeting rooms, and videoconferencing on a contract basis across more than 100 countries. It has attracted substantial attention from buyers seeking access to the lucrative flexible office sector in recent months. The offer comes in the wake of the rapid expansion of American rival WeWork, which was only founded eight years ago but is now valued at just over £15bn and is central London's largest corporate office occupier. IWG has had a less fortuitous time recently, blaming Brexit and global ""disruption"" from natural disasters earlier in the year for a 14 per cent slump in pre-tax profits on the previous year to £149m. However, its share price has climbed more than 30 per cent since May since it was announced that several potential bidders had come forward. The private equity firms hope their buyout, by taking the company away from the short-term scrutiny of public ownership, will provide more time for IWG's investments to become lucrative, as office space typically takes a number of years to reach maximum profitability."
18-Jul-18,Tech Crunch,Okta nabs ScaleFT to build out ‘Zero Trust’ security framework,"Okta , the cloud identity management company, announced today it has purchased a startup called ScaleFT to bring the Zero Trust concept to the Okta platform. Terms of the deal were not disclosed."
11-Jul-18,Tech Crunch,Broadcom acquires CA Technologies for $18.9B in cash,"Broadcom , the massive semiconductor supplier you may remember from its failed attempt to acquire Qualcomm, today announced that it has reached a definitive agreement with CA Technologies , a major IT management software and solutions …"
11-Jul-18,Tech Crunch,Facial recognition startup Kairos acquires Emotion Reader,"Kairos , the face recognition technology used for brand marketing, has announced the acquisition of EmotionReader .EmotionReader is a Limerick, Ireland-based startup that uses algorithms to analyze facial expressions around video content. …"
10-Jul-18,Tech Crunch,SolarWinds acquires real-time threat-monitoring service Trusted Metrics,"SolarWinds , the company behind tools like Pingdom, Papertrail, Loggly and a number of other IT management tools, today announced it has acquired Trusted Metrics , a company that helps businesses monitor incoming threats to their networks ..."
10-Jul-18,Tech Crunch,Box acquires Butter.ai to make search smarter,"Box announced today that it has acquired Butter.ai , a startup that helps customers search for content intelligently in the cloud. The terms of the deal were not disclosed, but the Butter.AI team will be joining Box."
10-Jul-18,Tech Crunch,Tilting Point expands its user acquisition fund to $132M in annual spending,"commitment to its user acquisition fund.The company announced a $12 million fund at the end of 2016, which it said would help developers grow their games while…"
10-Jul-18,Tech Crunch,"Grab co-founder says Southeast Asia still has plenty of competition despite Uber’s
exit","TechCrunch, 10 July 2018, 853 words, (English) Grab may have bought itself a dominant position in Southeast Asia through its acquisition of Uber’s regional business , but the company still believes there’s competition in the ride-hailing space despite what consumers may feel."
10-Jul-18,City AM,Chinese bid for Northern Aerospace fails,"CHINESE takeover attempts to buy a British defence company have fallen through, according to UK private equity firm Better Capital. Approval has not been given for aircraft parts maker Northern Aerospace to be purchased by Derbybased Gardner Aerospace, a subsidiary of Chinese aerospace and mining firm Shaanxi Ligeance Mineral Resources. Fears around Chinese government levels of access to sensitive information put the £44m deal back on hold last month, and the UK's competition regulator has denied approval for the sale to go through. The UK Competition and Markets Authority (CMA), which now has until 13 July to submit a report on the competition and national security aspects of the proposed deal, launched a probe into the potential takeover in June. In an update yesterday Better Capital said: ""Permission to complete the sale was not obtained from the Competition and Markets Authority by the revised contractual deadline, despite requests for such permission by both parties. ""Accordingly the proposed transaction has lapsed."" Northern Aerospace, which is based in County Durham and employs around 600 people, was set to be sold until opposition last month from business secretary Greg Clark, who allegedly stalled the selling of Northern Aerospace on the urgent advice of defence secretary Gavin Williamson. Germany, the US and Canada are among a number of western countries which have recently made high-profile takeover blocks as a result of security concerns around a string of acquisition attempts by Chinese companies across the world."
10-Jul-18,Tech Crunch,"After Uber buyout, Grab aims to go beyond rides to become Southeast Asia’s one-stop app",Grab is shrugging off the threat that Singapore might undo its acquisition of Uber’s Southeast Asia business after the ride-hailing firm announced a new strategy to become Southeast Asia’s one-stop “super app.”
6-Jul-18,City AM,Magic circle law firms boosted by M&A boom,"MAGIC circle law firms Freshfields Bruckhaus Deringer and Allen & Overy (A&O) have announced strong results as they benefit from a global mergers & acquisitions (M&A) boom. Freshfields had a particularly good year, increasing its profit per equity (PEP) 12 per cent to £1.73m and revenue by five per cent to £1.40bn. The figures mark a return to form for the firm, which posted poor numbers in 2017, with revenue flat and profit falling despite currency movements that flattered its results. A&O said yesterday that it had grown revenue four per cent to £1.57bn, while profit grew three per cent to £690m. In the year to 30 April, PEP increased four per cent to £1.64m, from £1.51m the previous year. In 2016-17 the firm had a standout year, growing revenue 16 per cent and PEP 26 per cent, although those results were influenced by the weakness of the pound. The firm said its corporate M&A practice had its busiest year on record, with London and western Europe particular high points. A&O's managing partner Andrew Ballheimer said: ""Last year was outstanding, although that growth was fuelled in part by currency movements. This year, we have grown again, and if you take a two-year view it is growth of £260m or 20 per cent, and that is FX-neutral."" Freshfields managing partner Stephan Eilers said it was a ""strong performance in terms of revenue and profitability in all regions and all sectors of the firm."" Eilers said the firm's performance was driven by its succesful private equity practice, a stronger US business and a good performance in M&A - particularly in the technology, media and telecoms sector."
6-Jul-18,City AM,Sorrell row with WPP escalates over Dutch bid,"FTSE AD giant WPP yesterday claimed it has been considering a takeover of Dutch agency MediaMonks since November 2017, as it described a rival bid from former boss Sir Martin Sorrell as ""unlawful"". A letter sent by WPP's lawyers to Sorrell suggested the competing bid from his new marketing venture S4 was a ""diversion of a maturing business opportunity for WPP"". The company says Sorrell was ""heavily engaged"" in talks with the Dutch firm's management while he was chief exective of WPP, and even attended a meeting with them in the Netherlands. WPP's letter also warned Sorrell that he risked losing £20m in shares if S4 pursued its interest in MediaMonks. Although Sorrell did not sign a noncompete agreement when he left the company, he agreed to other confidentiality undertakings, which WPP says he risks breaching through his bid for the agency. Sky News yesterday said Lewis Silkin, the law firm representing Sorrell, is disputing the claims and has asked WPP to provide evidence of the alleged meetings and internal discussions regarding MediaMonks. The news outlet said a source close to Sorrell explained he was ""connected"" to a potential bid through private equity firm Inflexion. A spokesperson for Sorrell shrugged off the claims. ""This appears to be an attempt to muddy the waters,"" they said. ""Sir Martin, his lawyers, his senior legal counsel, and his fellow investors are very relaxed."" Speaking at Cannes in June, Sorrell said the ""peanut"" sized S4 did not want to compete with WPP. ""Although it does occur to me that some people have peanut allergies,"" he added. The news follows claims that Sorrell had raised £1bn in the City to fund acquisitions to grow S4. A WPP spokesperson declined to comment last night."
3-Jul-18,City AM,THE BOTTOM LINE,"THE CITY'S response to Tesco's surprise announcement yesterday was remarkably united. Analysts immediately drilled down to three factors influencing the tie-up with Carrefour: the proposed merger between Sainsbury's and Asda, the growing threat of the discounters, and Brexit. The strategic alliance is widely seen as a sensible move to improve buying prices for some of the core products sold by both supermarkets. But there was more cynicism when it came to the claim that it will result in lower prices for customers, with Michael van Dulken of Accendo Markets perceiving the move as a bid to protect already ""wafer thin"" margins. But some price reductions will be necessary if both retailers are to retain market share in the face of competition from Aldi and Lidl. Meanwhile the combination of Sainsbury's and Asda poses another threat, knocking Tesco off its top spot in the UK's grocery market as well as creating a behemoth of buying. All things considered, Laith Khalaf of Hargreaves Lansdown concluded that a price war is now looming in the UK supermarket sector: great news for consumers, risky for shareholders. Perhaps that is why shares in Sainsbury's, Tesco and Morrison's all ended the day lower yesterday. Of course, all this could be rendered irrelevant by an unexpected Brexit outcome. Several industry observers yesterday theorised that Tesco's entente cordiale with Carrefour was an attempt to protect supply chains from upheaval. Only time will tell if it works."
3-Jul-18,City AM,Micro Focus sells subsidiary firm for $2.5bn,"1.51% SOFTWARE provider and IT management consultancy Micro Focus yesterday said it will sell its Suse open source subsidiary for $2.53bn (£1.93bn) to Swedish private equity house EQT, giving its share price a boost. Suse is worth almost one-third of Micro Focus's business, acquired by the company as part of an all-share purchase of Attachmate for $2.35bn in September 2014. Used by banks, universities and companies like Daimler, Total and Air India, the subsidiary generated revenue of $303m in the year ending April 2017, with an adjusted operating profit of $98.7m. After later buying up Hewlett Packard Entreprise's software unit for $8.8bn last year, Micro Focus has since been struggling to handle the weight, and is planning on using the proceeds of yesterday's sale to reduce its debt. The news prompted a rise in Micro Focus' share price during trading yesterday, with shares closing up 1.51 per cent. It follows a sharp drop in value in March, as investors became wary of Micro Focus' expansion tactics. The company shed more than half its market value as revenues shifted into decline and its chief executive left his post."
3-Jul-18,City AM,M&A offers for EU targets rise to 11-year high,"A SPATE of mega-deals spurred an M&A shopping spree as firms targeted a higher volume of European acquisitions than at any point since 2007's record year, new figures show. European target mergers and acquisitions (M&A) climbed to $770.4bn (£587bn) in first half of the year, according to Thomson Reuters data published yesterday. The surge in bids for EU firms pushed the half-year total above the full-year volume for European targets in five of the last 10 years. Unilever's share reunification is technically the largest deal of the year so far with a European target, with a notional price tag of $90.6bn. Yet even without the restructuring the year-to date performance remains the strongest since 2007 year-to-date - the year before the global financial crisis laid waste to M&A volumes across Western economies. Other large offers include Takeda's massive takeover of the UK's Shire, plus offers for UK satellite broadcaster Sky as part of the sale of Fox assets by Rupert Murdoch. Media and entertianment, including the offers for Sky and Vodafone's purchase of Unitymedia from Liberty Global, was the biggest sector, accounting for 20 per cent of volumes despite representing only eight per cent of offer numbers. Acquisitions by the UK, US, Netherlands, Japan and Italy add up to $518.5bn in total, up more than 240 per cent from the same point last year. The spree of dealmaking comes after a sustained period of strong growth across Europe, with many analysts describing the market as exhibiting late-cycle dynamics."
28-Jun-18,City AM,Former Barclays boss Diamond invests in broker,"FORMER Barclays chief executive Bob Diamond took a stake yesterday in a French brokerage in a bet that the business will prosper in the aftermath of new European regulations. Diamond's investment vehicle Atlas Merchant Capital (AMC) said it had agreed to acquire a 27.73 per cent stake in Kepler Cheuvreux from Blackfin Capital Partners while Swiss private bank Edmond de Rothschild acquired an eight per cent stake. AMC said the move was based on the strength of Kepler's research business which it expects to thrive in the wake of the Mifid II (the second Markets in Financial Instruments Directive) regulations which came into force in January. One of the effects of Mifid II is that asset managers can no longer receive broker research for free in return for the commission they pay. Matthew Hansen, the head of UK and Europe for AMC, said: ""The decision to invest in Kepler Cheuvreux was based on an analysis of their market leading positions in pan-European research, advisory and execution. In research, which is the cornerstone of their business, they have the largest research coverage in mainland Europe and are prospering in the post Mifid II research environment."" Diamond said Kepler Cheuvreux ""has a very good management team, focused on services where they excel and a pan-European client base"". ""My partners and I believe that by combining these strengths with AMC's operating experience, the company has very exciting growth prospects."" The deal, which is subject to regulatory approval, should be finalised by the end of September. No deal value was disclosed. Kepler may float in the next five years, its boss Laurent Quirin said."
27-Jun-18,City AM,AT&T boosts ad arm with $1.6bn AppNexus deal,"MEDIA giant AT&T has agreed to buy advertising software company AppNexus in a tie-up worth around $1.6bn (£1.2bn). AT&T said the takeover would help it invest in the growth of its advertising platform and consolidate in advanced TV advertising. It follows AT&T's mega merger with Time Warner being approved earlier this month, which will allow the company to advertise with the TV channels it acquired through the deal. The Wall Street Journal reported the deal to be worth around $1.6bn. The merger will bring across App-Nexus' team of 400 software engineers and product managers when it is joined with AT&T's advertising and analytics division. AppNexus is a cloud-based software company which optimises online ad campaigns for clients. ""Ad tech unites real-time analytics and technology with our premium TV and video content,"" said AT&T advertising and analytics boss Brian Lesser. ""So, we went out and found the strongest player in the space. ""AppNexus has scale of infrastructure, advanced technology and diverse talent. The combination of AT&T advertising & analytics and App-Nexus will help deliver a world-class advertising platform that provides brands and publishers a new and innovative way to reach consumers in the marketplace today."" The transaction is expected to close in the third quarter, and is subject to customary closing conditions. Brian O'Kelley, chief executive of AppNexus, said: ""Combining AT&T's incredible assets with our technology, we will help brands and marketers power new advertising experiences for consumers. It's what the market is asking for, and together we're poised to deliver it."""
26-Jun-18,City AM,Nielsen and Ebiquity media merger faces in-depth probe from watchdog,"A MEDIA intelligence merger that will see Ebiquity sell its advertising intelligence division to rival Nielsen will face an in-depth investigation from the competition watchdog, the regulator announced yesterday. In February, Nielsen and Ebiquity, which monitor the advertising habits of UK companies, announced an intention to complete the deal. But earlier this month, the Competition and Markets Authority (CMA) raised concerns, as both companies are the only suppliers of detailed advertising intelligence across a range of UK media. It argued that as the two companies were each other's closest competitor in the market, and faced limited competition from other suppliers internationally, the deal could raise competition concerns. Nielsen and Ebiquity were given a chance to offer acceptable undertakings to address these issues, but as they did not propose a satisfactory compromise, the CMA has referred the merger to an indepth investigation. Ebiquity chief exec Michael Karg said: ""We continue to believe the transaction will deliver substantial benefits for all stakeholders. A Phase 2 referral is not uncommon and together with Nielsen, we continue to work closely with the CMA towards a successful conclusion."" The process will take around 24 weeks to complete."
25-Jun-18,City AM,Internationalist' dealmakers buck M&A trend,"THE UK M&A market bucked a global trend of poor performance and decline for the second quarter of 2018, thanks to a high volume of firms buying overseas. Data by Willis Towers Watson, in partnership with Cass Business School, revealed that the global M&A market recorded its worst quarter in 10 years based on share price performance. While the overall volume of mergers and acquisitions remains on track to beat the post-crisis high of 2015, dealmakers ""struggled to add value"" and underperformed the index by 6.1 percentage points in the last three months. UK acquirers, on the other hand, managed to perform 10.6 percentage points above the index for the last six months. Jana Mercereau, head of corporate mergers and acquisitions for Great Britain, said: ""The increasing focus on domestic markets will intensify the competition for an ever-shrinking pool of targets, making it harder to deliver a deal without harming shareholder value. British companies have instead benefited from taking a more internationalist stance by targeting foreign businesses, despite Brexit uncertainties still looming large and the weakness of the pound."" Sixty-three per cent of UK dealmakers spent the first half buying overseas companies while their North American counterparts did overseas deals that represented just 13 per cent of acquisitions made so far this year, down from 20 per cent the previous year. She added: ""The deal making bonanza seen so far in 2018 is likely to continue as long as solid economics, low interest rates and supportive credit markets persist. ""Despite the optimism and appetite for pursuing growth through M&A, the poor performances that have followed completed deals suggest investors right now have very little margin of error. As M&A activity accelerates towards its peak, the importance of discipline and strong diligence grows so companies can mitigate risks and avoid the mistake of paying over the odds."""
25-Jun-18,City AM,Guy Hands joins bidding war for office space firm,"LONDON-LISTED office space provider IWG has received an approach from private equity firm Terra Firma Investments over a possible takeover of the company, it emerged over the weekend. The FTSE 250 office provider behind Regus confirmed that it had been contacted by the investor regarding a potential all-cash offer after it emerged that top financier Guy Hands' Terra Firma was the latest company to join the bidding war for the $3.8bn (£2.9bn) company. IWG said: ""The board is evaluating the Terra Firma offer with its financial advisers and shareholders will be updated in due course."" Another private equity fund, TDR Capital, and real estate investment groups Starwood Capital and Prime Opportunities are battling to take control of the company. The business has offices in almost 3,300 locations worldwide, amounting to 52m square feet in more than 110 countries. IWG has been courting a number of suitors recently after a takeover attempt from Onex and Brookfield Asset Management collapsed in February. It follows a $4.4bn investment from Japanese fund SoftBank into workspace competitor Wework, giving it a market valuation of $20bn. IWG was founded in 1989 by Mark Dixon, who remains its chief executive and holds a 25.4 per cent stake in the company."
25-Jun-18,City AM,Former Stobart boss wanted trucking merger,"FORMER Stobart Group chief executive Andrew Tinkler drew up plans to mergeStobart Group with trucking business Eddie Stobart Logistics, which it span off in 2014. The merger, which was discussed as recently as last month, would have created a business with a market capitalisation of £1.7bn. Tinkler is trying to unseat the chair of the Stobart Group Iain Ferguson, calling for Edinburgh Woollen Mill boss Philip Day to replace him. The Stobart Group board has accused Tinkler of trying to parachute a friend and ally into the role of chair. Tinkler said he has only met Day a few times, but emails between the pair seem to show a close relationship. In emails from last month seen by City A.M., Tinkler asked Day for his input on the proposed merger, dubbed ""project park"". The pair discussed the merger plans, spoke about meeting at Day's castle in Cumbria and bantered about boats and blackjack tables. Jaeger-owner Day also invited Tinkler to a future press day at the luxury brand - ""you have to come to one, good fun,"" he wrote. In another email Day wrote: ""Just read project park and its looks very interesting, can see why you would want to combine! Win\Win. ""We can chat tomorrow night when we meet up."" Day signed off the email: ""Take care mate and speak soon"". A spokesperson for Tinkler said: ""In fulfilling his board appointed role Andrew generated numerous ideas at Stobart Capital to enhance shareholder value for the group,"" they said. Tinkler was fired from Stobart's board this month, with Stobart accusing him of making unlawful use of company information and Tinkler accusing the company of defamation."
21-Jun-18,City AM,Asda and Sainsbury's bosses grilled over deal,"THE CHAIR of a select committee yesterday told Asda's boss to ""get real"" and stop talking ""baloney"" in a grilling over the supermarket's merger with Sainsbury's. Asda's Roger Burnley and Sainsbury's boss Mike Coupe appeared in front of the Environment Food and Rural Affairs (Efra) committee, which has launched an inquiry into the merger. They faced questions on suppliers, staff pay and cost savings. Chair Neil Parish accused both Burnley and Coupe of talking ""baloney"" over market share figures and said that the cost of the merger would end up falling on the suppliers to the two supermarkets. ""It's a cut-throat world out there and we know whose throat you're going to cut,"" he said. He also said he expected Sainsbury's and Asda to eventually become one supermarket. Burnley denied this, saying that Asda and Sainsbury's would remain ""fiercely"" independent brands. However he also said that he could not imagine there being a ""vast disparity"" between the pay of Sainsbury's and Asda workers, after concerns were raised that Asda's staff are paid less. Burnley said that he could benefit from the deal if Wal-Mart bases his bonus on the success of the merger. But Coupe insisted to the committee that he would ""stand to gain nothing"" from the deal. After the meeting, Labour MP Siobhain McDonagh, who has been leading opposition to changes to Sainsbury's contracts, asked Coupe about staff pay. ""I just wondered how you were able to justify that at the same time as taking a pay increase of over £425,000?"" she said as he exited the committee room. The Competition and Markets Authority said in May it was kicking off its scrutiny of the proposed merger between the supermarket giants. Sainsbury's announced in April that it intended to merge with Asda, which is currently owned by Wal-Mart in the US. The two have said a deal will mean grocery prices across both chains will fall, and that a merger would not lead to store closures and job losses."
19-Jun-18,City AM,Watchdog probe on Rentokil and Fidessa mergers,"THE UK'S competition watchdog yesterday raised concerns over two major City mergers, putting the future of the deals in doubt. The Competition and Markets Authority (CMA) questioned FTSE 100-listed Rentokil Initial's proposed acquisition of Cannon due to fears that it could limit competition for washroom supplies and maintenance. Both firms operate in the area of installation and servicing of air sanitisers, waste disposal units and soap dispensers. The two now have until 25 June to address the CMA's concerns. If the watchdog is not appeased, the merger will be referred for an in-depth probe. Rentokil's acquisition of Cannon completed early this year, adding a projected £77m to Rentokil's global hygiene revenues. It is one in a string of acquisitions by the services giant. In 2016, the firm acquired 41 companies for £107m, and in 2017 another 41 were added to the portfolio for £280m. Meanwhile, the CMA also said it is looking into whether Ion Investment Group's last-minute £1.5bn bid for software company Fidessa could cause competition concerns. The probe is at an early stage, with comments invited until 2 July. Fidessa had previously recommended that shareholders accept a £1.4bn offer from Swiss rival Temenos, but changed its allegiance to recommend Ion's bid as it came in just over two hours before the deadline. Fidessa investors will receive a total price per share of 3,950p from the Ion offer, after factoring in a final dividend for 2017. Ion's offer came in at a 48.6 per cent premium to Fidessa's share price at the time of the bid, which now sits at 3,860p."
12-Jun-18,City AM,Henderson Park acquires Athene Place for £101m,"REAL ESTATE investment group Henderson Park yesterday said it had acquired office building Athene Place in London from Commerz Real, a subsidiary of Germany's Commerzbank. The £101m sale was financed with senior debt provided by Blackstone Real Estate Debt Strategies. Athene Place is a 147,000 square foot office building in central London opposite Goldman Sachs' new European headquarters. Located on the Central, District, and Circle lines, the building will also eventually have access to the new Elizabeth line. The deal marks Henderson Park's 11th investment and its first in the London office market. Former Goldman Sachs executive and Henderson Park founder Nick Weber said: ""Athene Place is an exceptional building which has already begun to attract interest from tenants and which we believe has huge potential in one of London's fastest-moving and best connected sub-markets. ""This investment underscores our firm belief in the demand for institutional quality central London office space, driven by London's pre-eminent position as a centre for international business. ""We're excited to partner with Endurance Land to deliver a high quality asset for this part of the City."" The purchase follows Henderson Park's acquisition of Hilton Metropole hotels in London and Birmingham last year for around £500m."
12-Jun-18,City AM,KKR to acquire Envision health group for £4bn,"AMERICAN investment firm KKR yesterday announced it is acquiring US medical services provider Envision Healthcare for $5.57bn (£4.16bn). The deal represents the latest push into the healthcare sector for KKR, which already owns Envision AMR, the largest US provider of ambulance services. The firm bought online medical company WebMD for about $2.8bn last year. KKR sealed the latest deal with Envision for $46 per share - a premium of 5.4 per cent to Envision's last close on Friday. Including debt, the deal is valued at $9.9bn. The Envision deal comes just a few weeks after KKR announced it would be purchasing business software company BMC Software for $8.5bn. James D Shelton, Envision's lead independent director, said: ""After conducting a robust review of the business and competitive landscape, the company's opportunities and challenges, and the strategic and financial alternatives available to the company, the board unanimously believes that this transaction will deliver the most value to Envision's shareholders."" Christopher Holden, Envision's president and CEO said: ""Envision's leadership team - including both the board and management - have been singularly focused on driving value for our shareholders and have taken decisive action in furtherance of that goal, including the implementation of a comprehensive operational improvement plan and a robust review of strategic alternatives."" Envision said the deal marks an end to its efforts to find strategic alternatives, which the company launched last year."
12-Jun-18,City AM,Inmarsat soars on Echostar takeover offer,"SHARES in satellite giant Inmarsat rocketed more than 12 per cent yesterday, after the company confirmed on Friday that it had received a takeover offer from Echostar. Last week, the group said it had received ""a highly preliminary and indicative non-binding proposal from Echostar Corporation"", which it then rejected. Inmarsat said the offer had ""very significantly undervalued"" the company and its standalone prospects, with the board saying they remained highly confident in the independent strategy being pursued by the company. Liberal Democrat leader Vince Cable yesterday warned the Inmarsattakeover approach needed to be watched, comparing it to Melrose's GKNtakeover and the SoftBank-Arm acquisition. The share surge marked a welcome change for investors after a slump last month prompted by the breaking up of the company's global maritime distress signals monopoly. The International Maritime Organization's Maritime Safety Committee certified US-based Iridium Communications to provide Global Maritime Distress Safety System services. Last month, executive pay at the company was in focus, with shareholders hitting out at proposals that were ""too closely geared towards short-term awards"". Some 58.49 per cent voted against Inmarsat's remuneration report at its annual general meeting. CEO Rupert Pearce took over £1.9m in 2017 with finance chief Tony Bates paid £1.5m. Their pay fell from £2.3m and £1.8m respectively in 2016."
